,processor_company,Ram_1,Ram_type,Processor,Brand,Operating_System,SSD,HDD,Touch_Screen,Price
698,Intel,16,DDR4,i5,DELL,win11,512,0,yes,80615
699,AMD,16,DDR5,r7,ASUS,win11,1020,0,no,155990
700,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
701,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
702,Intel,16,LPDDR4X,i7,Infinix,win11,512,0,no,49990
703,Intel,16,DDR4,i7,Lenovo,win11,1020,0,no,157990
704,Intel,16,DDR5,i5,ASUS,win11,512,0,no,92990
705,AMD,16,DDR5,r7,ASUS,win11,1020,0,yes,171990
706,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
707,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
708,Intel,8,DDR4,i5,ASUS,win10,0,1020,no,44990
709,AMD,16,LPDDR5,r9,ASUS,win11,1020,0,yes,151990
710,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
711,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
713,Intel,16,DDR5,i5,DELL,win11,512,0,no,76590
714,AMD,16,DDR4,r7,HP,win10,512,0,no,90000
715,Intel,4,LPDDR4,Celeron,ASUS,Chrome,0,0,yes,23490
716,AMD,8,DDR4,r7,Lenovo,win11,512,0,no,73490
717,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,194990
718,Intel,16,LPDDR5,i7,ASUS,win11,512,0,yes,125990
719,Intel,8,DDR4,i5,Lenovo,win10,256,1020,no,50990
